-4.25,-3.5,-2,173.57,-35.214,0.14257
-4.25,-2.75,-1,174.02,-35.015,0.4584
-4.25,-5.5,-2,173.04,-35.745,0.56744
-2,-3.75,-1.75,173.57,-35.281,0.68356
-3,-4,-2.75,173.24,-35.345,0.79275
-3.25,-4.25,-1.75,173.44,-35.414,0.91375
-4.5,-5.75,-3,172.72,-35.808,1.0263
-2.75,-2.25,-1.5,174.02,-34.881,1.1344
-3.25,-5.5,-2.25,172.98,-35.744,1.2394
-5.5,-3.5,-0.75,173.89,-35.216,1.345
-4,-4.75,-2.5,173.11,-35.545,1.4473
-1.75,-3.75,-2,173.5,-35.28,1.5494
-2.25,-3.25,-1.25,173.83,-35.148,2.6495
-3,28.25,111.5,210.85,-22.824,2.7604
-5,121.25,186.75,249.01,16.627,2.8563
-4.5,213.25,197,265.35,54.38,2.9537
-3.75,365.5,193.5,276.21,117.29,4.0687
-3.25,400.25,71.75,255.17,109.01,4.1715
-3,484.25,-0.5,243.3,128.59,4.2741
-3,576.25,-4.25,241.16,162.13,4.3731
-3.25,677.75,-5.5,233.87,198.92,4.4742
-2.75,978.75,-7.5,180.86,295.9,5.5766
3.75,919,-112.75,187.99,252.24,5.6788
-3,662.75,-189,204.56,157.3,5.7794
-4.75,444.75,-206.5,196.32,87.243,5.8794
-1.5,394.5,-200.25,193.62,72.735,5.9761
-6.5,371.75,-200,191.38,66.035,7.0822
-5.5,369.25,-113.75,212.32,72.464,7.1869
-3.75,367,101,259.34,100.9,7.2889
-3.5,370,189.5,275.65,118.41,7.3929
-5.75,370.25,195.25,276.62,119.65,7.4872
-5,366.75,195.75,276.62,118.26,8.5818
-3,286,102.25,253.39,69.201,8.6838
-3.5,88.75,17.75,200.91,-8.2749,8.797
0,10,-8.5,175.37,-31.595,8.8935
-5.75,1.75,3.25,176.29,-33.805,8.9894
